email,household_type,footage,heating_temp,cooling_temp,postal_code,utilities
cknipp@hottechi.com,condominium,1130,,74,32559,
ckohl@dontechi.com,house,1413,77,73,33883,gas
ckohl@scotfind.com,apartment,454,73,73,36607,"electric,gas,fuel oil"
ckonopacki@lexiqvolax.com,house,599,73,,4353,
ckoppinger@hottechi.com,apartment,1389,75,,80824,gas
ckoppinger@streethex.com,house,900,,70,42565,"electric,steam"
ckorando@labdrill.com,apartment,2401,76,72,6786,steam
ckorando@newex.com,house,2280,75,,49546,gas
ckownacki@doncon.com,house,1845,77,73,77459,
ckownacki@lexiqvolax.com,apartment,512,69,73,3601,"electric,steam"
ckulzer@silis.com,condominium,1460,70,72,58001,"electric,gas,fuel oil"
ckusko@conecom.com,mobile home,426,74,71,6474,"electric,gas,steam"
clabreche@opentech.com,apartment,601,71,69,25423,electric
clapage@toughzap.com,apartment,155,78,76,7939,gas
clapage@zumgoity.com,condominium,849,71,75,70813,electric
clawler@cancity.com,house,1216,71,,79788,electric
clawler@faxquote.com,house,1159,72,73,49822,
clawler@finhigh.com,apartment,866,,74,32576,"electric,gas,steam"
clayous@singletechno.com,house,3955,72,72,75780,gas
cleinenbach@plussunin.com,apartment,97,,,71280,electric
cleto@betatech.com,house,1859,74,74,28240,"electric,gas"
clietz@nam-zim.com,apartment,1100,75,75,4257,gas
clinahan@openlane.com,townhome,2050,76,72,43430,electric
clipke@doncon.com,apartment,611,75,,49688,"steam,fuel oil"
cliukko@inity.com,apartment,1352,66,71,12851,gas
cliukko@rantouch.com,townhome,1566,72,76,76177,electric
cloder@finjob.com,townhome,730,74,71,90220,electric
cloder@kan-code.com,mobile home,660,,,89822,
clother@treequote.com,condominium,874,72,75,13052,
clueckenbach@finhigh.com,apartment,463,71,70,21222,electric
clueckenbach@year-job.com,condominium,627,66,73,30646,electric
cmadarang@rundofase.com,townhome,2628,76,74,95210,electric
cmai@golddex.com,house,784,70,73,5049,gas
cmaillard@green-plus.com,apartment,404,73,71,42211,
cmalet@rundofase.com,condominium,1017,,69,64487,electric
cmalet@zathunicon.com,house,799,72,70,8751,"electric,gas,fuel oil"
cmallett@codehow.com,apartment,155,76,,17310,
cmallett@j-texon.com,condominium,2401,71,71,47610,gas
cmalvin@condax.com,apartment,559,,,67630,
cmarrier@conecom.com,apartment,2320,72,,8535,"electric,gas"
cmarrier@year-job.com,mobile home,199,73,73,10046,electric
cmartabano@zencorporation.com,condominium,1132,74,,49355,"gas,fuel oil"
cmastella@rantouch.com,house,1589,68,76,62796,"electric,gas"
cmatuszak@silis.com,house,2650,76,,15337,"electric,gas"
cmatuszak@xx-holding.com,townhome,1001,72,75,23960,gas
cmccullan@silis.com,house,254,73,73,77238,"electric,gas"
cmclaird@inity.com,house,2089,67,71,77404,"electric,gas"
cmeisel@conecom.com,apartment,678,73,,2726,"electric,gas"
cmeisel@sunnamplex.com,townhome,955,76,74,26285,"electric,gas"
cmelnyk@ontomedia.com,house,852,75,71,25133,electric
cmeteer@mathtouch.com,condominium,1088,76,73,72173,electric
cmiceli@conecom.com,condominium,622,70,,49077,electric
cmodzelewski@stanredtax.com,apartment,879,72,,15032,"electric,gas,fuel oil"
cmonarrez@gogozoom.com,apartment,965,,,25009,"gas,fuel oil"
cmonarrez@golddex.com,apartment,747,,74,65619,fuel oil
cmondella@warephase.com,apartment,1334,71,71,31902,"electric,gas"
cmorasca@gogozoom.com,house,1124,,,20621,"electric,gas"
cmorasca@singletechno.com,mobile home,66,70,,49056,"electric,gas,fuel oil"
cmorasca@y-corporation.com,townhome,633,,,53184,"electric,gas"
cmoyd@toughzap.com,apartment,1097,,70,18454,
cmulqueen@iselectrics.com,apartment,853,72,74,53804,"electric,fuel oil"
cmulqueen@zathunicon.com,house,1795,74,74,3270,fuel oil
cmunns@stanredtax.com,apartment,975,69,75,28133,fuel oil
cmyricks@faxquote.com,mobile home,332,70,72,28954,"electric,gas"
cneither@betatech.com,apartment,956,72,73,8039,steam
cnestle@stanredtax.com,apartment,1917,,,80201,electric
cnestle@xx-holding.com,house,2718,,70,20099,gas
cnewville@ron-tech.com,townhome,1335,76,,63344,gas
cnicka@codehow.com,apartment,509,,72,48225,gas
cnunlee@streethex.com,mobile home,271,71,,31313,gas
cohms@scotfind.com,townhome,1201,68,,43931,"electric,gas,fuel oil"
cohms@toughzap.com,apartment,1411,69,72,5768,"electric,gas"
cohms@xx-holding.com,house,153,65,70,13453,electric
coldroyd@rangreen.com,mobile home,74,69,73,42356,
coldroyd@scottech.com,apartment,1405,71,73,85253,"electric,gas,fuel oil"
conofrio@toughzap.com,house,605,75,72,21290,"electric,gas"
costrosky@isdom.com,mobile home,482,75,,61815,gas
cpalaspas@finhigh.com,house,1291,73,71,97386,
cpalaspas@singletechno.com,townhome,176,72,72,3755,"electric,fuel oil"
cpalaspas@y-corporation.com,condominium,1464,74,72,60421,
cpapasergi@golddex.com,apartment,1238,74,70,35470,"electric,steam"
cpaprocki@scotfind.com,house,661,70,71,17547,"electric,gas"
cparlato@kinnamplus.com,apartment,363,72,,76095,gas
cpaskin@fasehatice.com,house,1616,70,72,44599,"electric,fuel oil"
cpaulas@gogozoom.com,apartment,959,65,74,66551,electric
cpaulas@nam-zim.com,apartment,1851,76,,20632,
cpaulas@warephase.com,apartment,1219,66,72,70744,"gas,fuel oil"
cperez@singletechno.com,house,1058,66,74,23408,electric
cperin@year-job.com,apartment,748,71,73,2172,"electric,steam"
cperin@zoomit.com,house,2177,75,72,58441,"electric,gas"
cperruzza@konmatfix.com,apartment,51,74,,52576,"electric,gas"
cperruzza@newex.com,apartment,541,,,22651,
cperruzza@warephase.com,house,1012,72,72,73038,steam
cpinilla@fasehatice.com,apartment,589,74,68,15026,electric
cpinilla@newex.com,house,629,71,,37052,gas
cplumer@fasehatice.com,condominium,974,72,,61376,electric
cplumer@nam-zim.com,condominium,2085,72,69,55406,electric
cpontoriero@groovestreet.com,house,2663,76,73,16538,
cpontoriero@konmatfix.com,apartment,992,69,71,16936,electric
cpoquette@kan-code.com,townhome,1532,75,72,20413,"electric,gas"
cpoullion@isdom.com,townhome,1257,73,,38914,gas
cpoullion@mathtouch.com,house,850,72,72,66710,
cradde@iselectrics.com,apartment,91,71,72,94708,electric
cragel@dambase.com,house,1441,74,73,85273,
crauser@bioholding.com,townhome,1124,66,75,60123,electric
crauser@kan-code.com,house,65,67,,14841,"electric,gas"
craymo@blackzim.com,apartment,845,72,70,81525,"electric,gas,fuel oil"
craymo@yearin.com,townhome,153,66,76,66653,gas
cregusters@finhigh.com,house,1511,68,,19122,electric
cregusters@ontomedia.com,house,2255,76,69,56634,steam
creiber@sumace.com,townhome,628,70,75,26572,fuel oil
creiber@xx-holding.com,mobile home,396,73,,95866,
creiber@zotware.com,townhome,1710,69,73,60505,"electric,gas"
creitler@donware.com,house,786,75,,73565,electric
crestrepo@j-texon.com,house,1989,71,72,68033,fuel oil
crhoden@cancity.com,townhome,603,,,611,gas
crhoden@donquadtech.com,apartment,447,73,70,83714,gas
crhoden@funholding.com,condominium,1682,64,75,66865,
criden@streethex.com,condominium,936,69,,17060,
crim@bioholding.com,townhome,1611,75,69,34609,gas
crochin@kan-code.com,apartment,806,72,76,6351,gas
crodenberger@bioholding.com,house,1179,,69,28447,
crowling@year-job.com,townhome,1828,76,75,5047,
cryser@stanredtax.com,apartment,787,72,72,33186,electric
cryser@zathunicon.com,apartment,1406,74,,80306,
csahagun@scotfind.com,apartment,852,68,69,1865,electric
csama@green-plus.com,condominium,1945,,,47488,electric
csamara@doncon.com,house,1779,73,73,95661,electric
csamu@isdom.com,apartment,1507,74,71,64499,fuel oil
csarao@konex.com,apartment,416,74,74,98858,"electric,fuel oil"
csarao@plexzap.com,house,1257,73,70,51015,"gas,steam"
csarbacher@bioholding.com,apartment,812,77,,30183,electric
csawchuk@konex.com,house,1364,68,73,71275,"electric,gas"
csayaphon@inity.com,mobile home,329,74,,91386,gas
csayaphon@plussunin.com,apartment,448,68,,98814,electric
csaylors@dambase.com,apartment,494,70,72,95314,
cscheyer@betasoloin.com,apartment,1018,74,74,90019,"electric,steam"
cschieler@blackzim.com,apartment,699,75,74,28633,gas
cschieler@xx-zobam.com,mobile home,279,74,73,10580,electric
cschnitzler@rangreen.com,mobile home,440,72,,71360,fuel oil
cschoeneck@donquadtech.com,townhome,68,76,72,37249,electric
cscipione@gogozoom.com,house,695,69,75,29127,steam
cscriven@iselectrics.com,house,1291,73,75,6118,electric
cscriven@scottech.com,apartment,509,76,75,66441,
cseewald@donware.com,apartment,584,72,72,50515,gas
cseewald@ontomedia.com,townhome,812,,70,98558,"electric,gas"
csemidey@green-plus.com,apartment,409,70,72,83666,"electric,fuel oil"
cshields@bioholding.com,apartment,390,76,69,99329,gas
cshields@lexiqvolax.com,house,1374,72,72,26338,electric
cshin@openlane.com,house,1789,73,72,30999,electric
cshinko@dontechi.com,apartment,804,66,70,21890,
csilvestrini@donquadtech.com,condominium,1084,76,72,59604,fuel oil
csilvestrini@konex.com,house,1150,67,75,58017,
csimilton@donware.com,house,801,76,71,19102,gas
cskulski@funholding.com,house,701,74,71,76599,"electric,gas"
cskursky@codehow.com,apartment,508,76,76,73853,"electric,gas"
cskursky@nam-zim.com,apartment,1277,78,74,62532,"electric,gas,steam"
cslayton@stanredtax.com,apartment,2289,73,,19172,"gas,steam"
csmith@bioholding.com,condominium,325,72,,16124,"gas,fuel oil"
cspickerman@condax.com,house,152,72,72,13142,gas
cstaback@gogozoom.com,apartment,1874,72,72,33002,
cstem@donquadtech.com,townhome,1155,75,75,72913,"gas,fuel oil"
cstockham@green-plus.com,house,688,76,,77592,
cstockham@ontomedia.com,house,1266,,73,31308,electric
cstoltzman@konex.com,apartment,860,74,73,23184,gas
cstorment@green-plus.com,house,1539,74,73,44315,electric
cstorment@inity.com,apartment,520,71,,44017,
csuell@blackzim.com,apartment,840,71,69,59105,"electric,steam"
csuffield@codehow.com,apartment,844,78,70,99636,gas
cswayze@lexiqvolax.com,apartment,1047,74,,31513,gas
csweigard@xx-holding.com,apartment,1352,74,,38927,"electric,steam"
csyrop@goodsilron.com,condominium,877,68,73,43736,
csyrop@rundofase.com,house,613,73,69,20403,gas
ctagala@zoomit.com,townhome,1292,73,,35904,"electric,gas"
ctjepkema@condax.com,house,1160,75,72,70894,
ctjepkema@isdom.com,townhome,1263,75,,90276,
ctjepkema@ron-tech.com,apartment,1350,75,73,1079,electric
ctjepkema@streethex.com,house,1382,74,72,98324,
ctoelkes@stanredtax.com,house,751,68,72,10166,gas
ctolfree@rangreen.com,apartment,1348,,72,16034,"electric,gas"
ctomblin@dambase.com,house,605,67,74,14072,electric
ctoyama@treequote.com,apartment,961,73,75,36373,
ctreston@betasoloin.com,townhome,988,,70,16159,electric
ctreston@cancity.com,apartment,62,,73,26276,
ctromblay@donware.com,house,899,66,76,8863,
ctromblay@funholding.com,house,2856,77,74,94607,"electric,gas"
cturinetti@donquadtech.com,house,1325,75,76,56122,"gas,steam"
cuyetake@hottechi.com,apartment,575,69,,48652,gas
cvanausdal@domzoom.com,townhome,3406,,73,33680,
cvarriano@donquadtech.com,house,819,70,70,95840,
cventura@dontechi.com,apartment,117,66,73,90066,
cvillanueva@zumgoity.com,apartment,895,74,71,71322,fuel oil
cvonasek@kan-code.com,house,2239,74,72,38177,"electric,gas,steam"
cwalthall@ontomedia.com,house,1848,70,70,4944,
cwardrip@betasoloin.com,condominium,1166,69,,48725,gas
cwaymire@conecom.com,house,832,,,79424,electric
cweglarz@finhigh.com,mobile home,110,77,74,68966,electric
cweglarz@konex.com,house,1922,74,,62467,"electric,steam"
cwesterbeck@silis.com,mobile home,818,74,71,73149,"electric,fuel oil"
cwide@sonron.com,townhome,1434,76,,8319,"electric,gas"
cwolfgramm@donquadtech.com,house,1314,70,70,1654,electric
cwolfgramm@green-plus.com,townhome,648,72,,1128,"electric,fuel oil"
cwolfgramm@groovestreet.com,house,2086,68,75,19700,gas
cwolny@conecom.com,townhome,1317,68,74,30062,
cworlds@xx-zobam.com,house,1186,73,72,86043,gas
cyaw@condax.com,house,1518,73,73,93275,steam
cyaw@conecom.com,condominium,698,75,75,23111,gas
cyaw@xx-holding.com,apartment,851,73,74,30161,
cyum@singletechno.com,townhome,161,,71,52057,"electric,gas,fuel oil"
czepp@betatech.com,apartment,422,74,69,28434,
czepp@y-corporation.com,apartment,1563,77,68,98305,electric
czepp@zathunicon.com,apartment,416,70,70,10464,gas
dabdallah@bioplex.com,condominium,2096,75,,13111,gas
dacey@mathtouch.com,house,1386,73,68,3856,"electric,fuel oil"
dacuff@warephase.com,mobile home,260,72,71,82427,electric
dagramonte@toughzap.com,townhome,512,,72,4402,gas
dandreason@konex.com,townhome,1026,70,72,56047,"electric,gas"
dangalich@silis.com,apartment,1368,71,72,23604,gas
dankeny@openlane.com,townhome,980,70,73,90814,"steam,fuel oil"
dbarfield@ganjaflex.com,house,2018,73,75,61426,fuel oil
dbayless@sonron.com,mobile home,234,,,60199,fuel oil
dbennick@zotware.com,townhome,2759,74,72,85310,gas
dberlanga@kinnamplus.com,apartment,60,68,73,28906,electric
dberray@groovestreet.com,mobile home,488,75,72,41522,electric
dbevelacqua@silis.com,house,1680,72,73,29390,
dbiddy@streethex.com,apartment,345,69,74,29542,steam
dbilden@kinnamplus.com,mobile home,468,73,73,88315,electric
dbilden@opentech.com,apartment,572,70,,86018,"electric,gas"
dblackwood@toughzap.com,house,1382,75,70,47122,"gas,steam"
dblunk@sonron.com,apartment,509,76,73,95172,steam
dboord@year-job.com,apartment,983,73,69,35115,gas
dborgman@y-corporation.com,house,2558,,,46573,
dborgman@zoomit.com,apartment,461,74,72,55438,gas
dbourbon@groovestreet.com,house,1085,71,,75792,gas
dbourbon@plusstrip.com,house,1737,69,,29641,"electric,gas"
dbowley@warephase.com,condominium,1634,71,75,36017,electric
dbrachle@fasehatice.com,apartment,1734,70,75,37723,"electric,gas"
dbrachle@stanredtax.com,house,2924,72,75,39215,fuel oil
dbreland@inity.com,house,1280,69,71,50070,"electric,gas"
dbriddick@yearin.com,townhome,780,68,72,37122,
dbrideau@lexiqvolax.com,condominium,163,76,71,19140,"electric,fuel oil"
dbrossart@faxquote.com,townhome,2631,69,71,69301,gas
dbrossart@finjob.com,townhome,517,72,,83403,fuel oil
dburnard@scottech.com,condominium,1032,75,74,78418,
dburnard@zathunicon.com,house,1384,74,74,7950,gas
dbuvens@iselectrics.com,mobile home,462,73,74,37853,
dbuvens@nam-zim.com,condominium,415,71,72,46987,"electric,gas"
dbuvens@newex.com,house,550,,,21275,gas
dbuvens@rangreen.com,apartment,1445,69,,64195,"electric,steam"
dcaiafa@finjob.com,house,130,69,75,72416,fuel oil
dcaiafa@ganjaflex.com,apartment,552,73,,99576,"electric,fuel oil"
dcaldarera@isdom.com,apartment,1748,72,72,58795,"electric,gas"
dcalvaresi@statholdings.com,apartment,462,75,,94573,electric
dcanlas@betatech.com,apartment,400,73,69,33684,electric
dcanlas@konex.com,apartment,1276,69,,30390,"electric,gas,steam"
dcartan@plexzap.com,mobile home,210,75,,76862,
dcentini@codehow.com,townhome,97,73,72,75479,gas
dcentini@donquadtech.com,condominium,119,,,34973,"electric,gas"
dchavous@statholdings.com,apartment,463,66,72,40734,fuel oil
dchesterfield@isdom.com,house,1717,68,,19493,"gas,fuel oil"
dclaucherty@streethex.com,apartment,769,67,,55379,gas
dcolaizzo@bioplex.com,condominium,658,66,71,78763,gas
dcolla@ron-tech.com,house,1367,73,74,80247,steam
dcomnick@finhigh.com,apartment,4397,72,75,84733,gas
dcomnick@rundofase.com,townhome,1690,72,71,94603,"electric,steam,fuel oil"
dcork@zotware.com,townhome,1161,71,74,28328,electric
dcorrio@codehow.com,mobile home,550,74,74,33686,"electric,steam"
dcousey@blackzim.com,mobile home,282,,69,4112,"gas,steam"
dcousey@finjob.com,townhome,1092,67,,84644,electric
dcoyier@zathunicon.com,apartment,1067,75,,23437,gas
dcraghead@silis.com,townhome,1166,71,74,69301,gas
dcronauer@finjob.com,apartment,1101,71,71,53949,gas
dcrupi@ontomedia.com,house,2498,66,73,61322,"electric,gas,steam,fuel oil"
dcryer@inity.com,condominium,929,70,,12436,gas
ddarakjy@cancity.com,townhome,1729,71,73,46260,electric
ddegonia@silis.com,house,1553,72,,40577,
ddegroot@stanredtax.com,house,1544,71,75,46898,electric
ddelasancha@funholding.com,house,2537,73,74,29691,electric
ddevreese@fasehatice.com,condominium,1102,76,,15024,"electric,gas,fuel oil"
ddewar@sunnamplex.com,house,651,75,,19143,"electric,gas,fuel oil"
ddhamer@blackzim.com,house,1055,73,,92118,"steam,fuel oil"
ddilliard@konmatfix.com,townhome,1491,76,73,57198,gas
ddinos@toughzap.com,house,597,76,,90274,electric
ddiscipio@j-texon.com,house,2933,73,73,53172,electric
ddubaldi@statholdings.com,apartment,575,69,74,97208,electric
dehmann@condax.com,house,1772,68,76,34479,electric
demard@scotfind.com,house,1706,68,72,25410,"electric,gas,steam"
demard@zathunicon.com,apartment,162,,71,41667,
demigh@xx-holding.com,mobile home,134,75,70,33835,
demigh@yearin.com,apartment,659,,71,19108,"electric,gas,steam"
dengelberg@condax.com,condominium,684,75,,4471,"electric,gas"
dengelberg@rangreen.com,apartment,971,67,72,49239,"electric,gas"
deroman@scotfind.com,house,218,66,,36526,"electric,gas"
destell@bioholding.com,house,68,67,73,49619,steam
destell@conecom.com,apartment,516,71,72,46377,gas
destell@xx-zobam.com,apartment,761,75,,78331,
dfallick@toughzap.com,condominium,1569,65,73,30507,"electric,steam,fuel oil"
dfarrow@betatech.com,house,525,76,,22472,electric
dfarrow@domzoom.com,house,1585,77,,52207,gas
dfarrow@labdrill.com,house,897,72,,64724,"electric,gas,fuel oil"
dfeichtner@toughzap.com,townhome,3354,73,,93517,"electric,gas,fuel oil"
dfelger@bioholding.com,apartment,539,,72,40870,gas
dfelger@y-corporation.com,house,7131,69,,33069,electric
dfigeroa@j-texon.com,mobile home,533,76,69,64624,fuel oil
dfigeroa@plexzap.com,apartment,412,69,71,95701,electric
dflosi@konmatfix.com,apartment,1128,74,74,22038,fuel oil
dflosi@treequote.com,house,202,73,,45403,electric
dfrancescon@plusstrip.com,house,670,65,74,70114,electric
dfredicks@j-texon.com,house,197,,74,68136,electric
dfrerking@konex.com,house,771,71,69,27675,electric
dfrey@kan-code.com,house,1057,72,,77483,gas
dfritz@betatech.com,townhome,1735,74,73,20091,gas
dgehrett@scotfind.com,mobile home,396,76,,1937,gas
dgellinger@conecom.com,apartment,1114,71,,62288,fuel oil
dgesick@rundofase.com,house,775,65,73,95060,
dgibes@gogozoom.com,house,795,74,69,90049,gas
dgibes@y-corporation.com,apartment,842,67,75,3264,gas
dgillaspie@lexiqvolax.com,townhome,1059,64,71,83322,
dgillian@faxquote.com,house,653,75,,55072,gas
dgillian@opentech.com,apartment,66,64,70,33305,electric
dgleich@openlane.com,apartment,1389,78,71,57422,
dgleich@sumace.com,apartment,1283,74,,37151,"electric,gas"
dgochal@bioholding.com,apartment,510,69,73,56320,gas
dgochal@toughzap.com,apartment,43,,71,10566,fuel oil
dgoldammer@statholdings.com,condominium,1990,76,76,37650,gas
dgood@gogozoom.com,house,877,71,75,20682,
dgotter@donware.com,apartment,1026,73,75,14603,fuel oil
dgrenet@treequote.com,mobile home,26,73,72,21282,gas
dhalter@newex.com,townhome,645,72,74,13041,gas
dhamilton@zotware.com,apartment,398,,71,51656,fuel oil
dharnos@rantouch.com,apartment,2534,,,16720,electric
dharnos@xx-holding.com,house,1478,74,73,62893,"electric,fuel oil"
dharoldson@fasehatice.com,house,2813,70,,13846,gas
dharoldson@zathunicon.com,apartment,771,71,70,36255,fuel oil
dhaufler@bioplex.com,townhome,623,76,73,36141,"electric,gas"
dheimann@konmatfix.com,townhome,1404,74,,76501,gas
dheintzman@nam-zim.com,house,1666,75,74,77363,
dhengel@silis.com,townhome,1346,74,74,65461,
dhidvegi@konmatfix.com,townhome,1993,72,71,82845,electric
dhirpara@xx-zobam.com,apartment,946,,75,48670,
dhixenbaugh@hottechi.com,condominium,601,70,74,66758,electric
dhoa@groovestreet.com,apartment,475,76,71,11973,
dhughey@condax.com,apartment,803,69,,57244,electric
dhughey@newex.com,apartment,697,75,73,95963,electric
disenhower@iselectrics.com,apartment,471,,,24821,"electric,gas"
disenhower@opentech.com,mobile home,457,69,,71330,
diturbide@ganjaflex.com,townhome,1599,68,70,43072,electric
diturbide@isdom.com,mobile home,197,70,75,65612,
djeanty@plusstrip.com,apartment,1160,73,71,61431,"electric,steam"
djulia@zathunicon.com,house,1444,76,72,24266,gas
djurney@labdrill.com,townhome,1109,77,,96728,"gas,fuel oil"
djuvera@xx-zobam.com,house,784,74,,21404,"electric,steam,fuel oil"
djuvera@zencorporation.com,house,974,71,72,5359,
dkannady@yearin.com,apartment,1042,70,,68731,electric
dkardas@cancity.com,house,136,,70,79120,electric
dkarpel@rantouch.com,townhome,1667,76,72,57039,"electric,fuel oil"
dkines@gogozoom.com,house,3280,78,,78427,
dkines@rangreen.com,house,1359,70,,2040,"electric,gas,steam,fuel oil"
dkines@stanredtax.com,house,839,75,75,97859,electric
dkines@sunnamplex.com,apartment,501,74,70,70037,
dkippley@plexzap.com,condominium,2080,75,73,63758,electric
dkitty@xx-holding.com,house,58,65,72,80866,"electric,fuel oil"
dklimek@golddex.com,apartment,512,75,,17128,fuel oil
dklimek@groovestreet.com,house,1880,75,73,98666,electric
dkohnert@dambase.com,condominium,117,67,,90068,
dkoppinger@blackzim.com,house,1298,69,73,31786,
dkoppinger@condax.com,house,3199,71,72,78944,"electric,gas,steam"
dkorando@inity.com,apartment,167,70,75,80322,electric
dkulzer@gogozoom.com,apartment,1066,75,69,41129,"electric,gas"
dkulzer@rundofase.com,house,1788,70,75,32607,steam
dlapage@bioplex.com,house,2141,75,,94649,"electric,gas"
dlary@ganjaflex.com,mobile home,34,70,,15252,"electric,gas"
dlary@scotfind.com,house,129,73,74,52538,
dlatzke@funholding.com,house,1495,,,69143,"electric,fuel oil"
dleinenbach@year-job.com,condominium,946,70,,4547,"electric,gas,fuel oil"
dleinenbach@zumgoity.com,apartment,2185,70,73,39071,steam
dleto@ganjaflex.com,apartment,1348,76,72,54023,
dlipke@blackzim.com,apartment,903,65,70,53207,electric
dlipke@sonron.com,apartment,557,73,,33413,electric
dlizama@funholding.com,apartment,1577,,72,88427,gas
dlother@konmatfix.com,townhome,1003,71,,40297,
dlother@lexiqvolax.com,apartment,1255,76,75,98222,
dluczki@ganjaflex.com,house,1136,70,73,98533,
dluczki@plexzap.com,house,1484,74,73,76270,electric
dlueckenbach@conecom.com,house,2663,68,75,27972,electric
dmaclead@zathunicon.com,townhome,903,73,71,39595,"electric,gas,steam"
dmaile@conecom.com,mobile home,404,72,72,28220,fuel oil
dmaisto@stanredtax.com,house,1552,70,,19902,"electric,gas"
dmaisto@toughzap.com,townhome,1689,70,,50140,electric
dmalvin@conecom.com,house,2181,72,71,81253,"electric,fuel oil"
dmalvin@domzoom.com,condominium,903,65,70,7704,"electric,gas"
dmalvin@openlane.com,apartment,988,71,75,98581,"electric,gas"
dmanno@dontechi.com,house,366,72,70,10572,"electric,gas,fuel oil"
dmanno@ron-tech.com,apartment,385,75,,83303,
dmarrier@newex.com,house,3015,74,71,37141,fuel oil
dmartabano@rundofase.com,condominium,546,71,74,64087,fuel oil
dmaynerich@xx-zobam.com,apartment,2570,72,,4288,"electric,gas"
dmclaird@bioholding.com,house,2073,67,73,21853,gas
dmcnease@ontomedia.com,apartment,2004,70,,35232,"electric,fuel oil"
dmcnease@xx-holding.com,townhome,1170,74,,20412,fuel oil
dmeinerding@toughzap.com,condominium,2173,73,,59927,electric
dmeisel@goodsilron.com,apartment,1620,66,,46402,gas
dmeteer@scottech.com,house,107,76,70,84130,"electric,gas,fuel oil"
dmiceli@treequote.com,house,1661,69,76,25202,
dmondella@ron-tech.com,house,1456,74,76,60426,electric
dmonterrubio@newex.com,apartment,44,75,71,55384,"gas,fuel oil"
dmorasca@inity.com,condominium,554,64,,60089,electric
dmorasca@y-corporation.com,townhome,1159,72,,75978,electric
dmorocco@faxquote.com,house,2509,,73,41031,"electric,gas"
dmyricks@hatfan.com,house,751,76,73,6019,
dnabours@domzoom.com,townhome,78,75,,58474,electric
dnabours@year-job.com,apartment,1222,74,71,37663,electric
dnabours@zoomit.com,apartment,1472,74,,70836,electric
dneither@funholding.com,apartment,851,72,76,61106,"electric,gas,steam,fuel oil"
dnicka@sumace.com,apartment,113,67,73,20037,"electric,gas"
dnunlee@isdom.com,house,2420,73,73,13123,electric
dogg@inity.com,house,1214,64,,62684,
dogg@year-job.com,apartment,840,72,71,35068,
dpaa@labdrill.com,townhome,2284,70,,93202,"electric,gas"
dpagliuca@plussunin.com,mobile home,291,69,72,62450,electric
dpagliuca@stanredtax.com,apartment,3539,70,,35618,"gas,fuel oil"
dpalaia@betatech.com,house,1028,,73,77340,
dpalaspas@fasehatice.com,apartment,601,78,75,1222,electric
dperruzza@scotfind.com,mobile home,342,71,,26571,gas
dplumer@plussunin.com,house,3821,75,73,19079,
dpolidori@sumace.com,house,788,70,,49780,"gas,steam,fuel oil"
dpontoriero@plexzap.com,townhome,1467,73,,16034,gas
dpoquette@stanredtax.com,house,1650,69,,68702,
drauser@treequote.com,house,678,72,75,45503,gas
draymo@betatech.com,apartment,550,69,,6010,"gas,steam"
draymo@cancity.com,apartment,1045,68,73,28635,"electric,fuel oil"
dregusters@donquadtech.com,house,1364,,73,84315,electric
dreiber@openlane.com,townhome,607,75,,46920,
drestrepo@scotfind.com,house,839,70,72,71354,
drhym@groovestreet.com,apartment,1152,69,72,5061,"electric,fuel oil"
drhym@sunnamplex.com,house,1309,76,,49705,gas
drim@green-plus.com,house,1759,,73,13093,
drim@zathunicon.com,apartment,2228,73,,71256,"electric,gas,fuel oil"
drochin@cancity.com,townhome,662,75,71,38140,"electric,gas"
drochin@j-texon.com,house,1481,74,,94104,
drodefer@fasehatice.com,house,1380,72,,68440,"electric,gas"
drodefer@statholdings.com,mobile home,212,76,71,20080,"electric,steam"
drodenberger@doncon.com,townhome,1483,71,72,57774,"electric,gas"
drulapaugh@conecom.com,house,647,75,71,90305,
dryser@zoomit.com,house,925,,73,98181,"electric,gas"
dsahagun@finjob.com,townhome,672,72,72,31415,electric
dsama@betatech.com,house,1357,76,76,55612,electric
dsamara@finhigh.com,townhome,1419,69,,95866,electric
dsamu@finjob.com,house,1876,,75,28303,
dsaras@rantouch.com,house,1543,,70,30449,"electric,fuel oil"
dsayaphon@dalttechnology.com,house,817,74,,75258,"electric,gas"
dschemmer@iselectrics.com,townhome,991,,73,2181,gas
dschemmer@streethex.com,townhome,1593,69,69,603,gas
dschirpke@donquadtech.com,townhome,862,76,73,54495,
dschmaltz@donware.com,house,1022,71,,19564,
dscipione@labdrill.com,house,2615,73,71,98617,gas
dscriven@doncon.com,house,1167,,,20754,electric
dseewald@plexzap.com,apartment,463,72,,2648,fuel oil
dsemidey@singletechno.com,townhome,719,75,72,84653,"electric,fuel oil"
dsengbusch@mathtouch.com,townhome,630,68,73,938,gas
dshadrick@rantouch.com,condominium,1198,69,74,73848,
dshealy@doncon.com,townhome,1050,78,,75462,"electric,fuel oil"
dshin@sonron.com,condominium,473,75,,99110,gas
dshinko@ontomedia.com,condominium,1333,76,71,85930,"electric,gas,fuel oil"
dshinko@zotware.com,apartment,394,78,69,29123,
dsilvestrini@betasoloin.com,apartment,485,73,,8107,electric
dskulski@finhigh.com,house,1141,70,74,20372,gas
dskursky@conecom.com,house,2610,76,72,16021,"electric,gas"
dskursky@konex.com,house,2293,76,71,66047,gas
dslayton@xx-holding.com,townhome,1107,69,76,30212,"electric,fuel oil"
