household_email	appliance_number	manufacturer_name	model	appliance_type	air_handler_types	eer	energy_source	hspf	seer	energy_source	capacity	temperature	btu
bjuhas@hottechi.com	2	Rapvenegover International Group		air_handler	heatpump,heater		electric	18.5	40.4				5185
bjuhas@hottechi.com	3	Admunin WorldWide Corp.		air_handler	air_conditioner,heatpump	1.4		20.7	43.8				5471
bjulia@bioplex.com	1	Thrusipupistor Direct	Klisipefex	air_handler	heater		electric						6099
bjuvera@cancity.com	1	Monjubistor International Company	Emwerpan	water_heater						gas	14.4	236	8270
bkalafatis@kinnamplus.com	1	Tippebex International	Dopzapentor	air_handler	air_conditioner	1.0							2174
bkalafatis@kinnamplus.com	2	Parpebewax International		air_handler	heater		electric						2556
bkalafatis@kinnamplus.com	3	Grotumentor International		air_handler	heatpump,air_conditioner	4.2		21.6	49.1				6399
bkampa@betatech.com	1	Endpickimicator	Barpeban	air_handler	air_conditioner,heatpump	14.3		22.8	56.0				8016
bkampa@betatech.com	2	Winquestedgazz Inc	Truwerefan	air_handler	heatpump			23.5	45.9				6027
bkampa@betatech.com	3	Montanonor Direct Corp.	Supnipamazz	air_handler	heatpump			27.6	55.0				5945
bkampa@labdrill.com	1	Emsapower Corp.	Doptumexazz	air_handler	heatpump			20.4	33.5				2461
bkampa@labdrill.com	2	Barquestollicator	Emquestollover	water_heater						thermosolar	65.5	110	2066
bkampa@labdrill.com	3	Zeekilax	Endkilin	air_handler	heatpump			17.5	35.7				2651
bkannady@yearin.com	1	Vartanover	Doperewin	water_heater						gas	78.4	125	4259
bkeener@donware.com	1	Varfropanax Holdings Corp.	Winwerpex	water_heater						electric	79.9		2184
bkeener@donware.com	2	Empebupazz Direct	Klipickicator	air_handler	heatpump,heater		fuel oil	21.7	66.8				5030
bkeener@donware.com	3	Parwerentor International	Haphupexantor	air_handler	air_conditioner,heatpump	1.8		24.3	40.5				4751
bkeener@groovestreet.com	1	Partanommower	Parfropommover	water_heater						gas	40.9	109	22009
bkeener@j-texon.com	1	Thrusipupistor Direct	Endsipewor	air_handler	heater		electric						6884
bkeener@j-texon.com	2	Dopbanollentor Holdings		air_handler	air_conditioner	1.9							5148
bkeener@j-texon.com	3	Renipicator WorldWide		air_handler	air_conditioner,heatpump	6.8		22.2	43.1				8399
bkeener@j-texon.com	4	Qwicadegazz Holdings Group	Varkilicator	air_handler	heater		electric						6105
bkiel@stanredtax.com	1	Rapjubover Holdings	Empebamax	air_handler	heatpump,air_conditioner	4.6		17.4	35.7				5871
bkiel@stanredtax.com	2	Adniponan Corp.	Supnipax	air_handler	heatpump			23.4	39.7				3592
bkiel@stanredtax.com	3	Varkilepover Direct	Barcadicator	air_handler	heatpump			30.5	47.3				4396
bkippley@cancity.com	1	Hapweristor Holdings Corp.	Truglibedgax	water_heater						electric	17.8	251	12134
bkippley@cancity.com	2	Klitumaman Group	Adsipar	air_handler	heater		electric						18781
bkippley@cancity.com	3	Cippebistor International		air_handler	heatpump			22.2	49.9				17636
bkippley@cancity.com	4	Tupnipopar	Haperollin	air_handler	air_conditioner	2.7							14480
bkippley@codehow.com	1	Surerepin Direct Corp.		air_handler	air_conditioner	2.3							7791
bkippley@groovestreet.com	1	Barpickepex International Inc		air_handler	heater		electric						6423
bkippley@groovestreet.com	2	Frobanan Holdings Group	Surrobupazz	air_handler	heatpump,heater		gas	25.7	33.9				7457
bkippley@groovestreet.com	3	Grosapax Company		air_handler	air_conditioner	1.9							4723
bkippley@labdrill.com	1	Rapvenegover International Group		water_heater						electric	27.0	107	13326
bklonowski@nam-zim.com	1	Lomdudex WorldWide	Supcadax	air_handler	air_conditioner	3.7							14764
bknipp@sumace.com	1	Dopsipedgax	Surpickilor	air_handler	air_conditioner	2.3							12358
bkohl@yearin.com	1	Unmunilar Holdings	Tupcadan	air_handler	heater		gas						8856
bkohl@yearin.com	2	Trujubicator Company	Lomkilollar	air_handler	heater		gas						9573
bkohl@yearin.com	3	Hapvenicator Direct	Upcadicentor	air_handler	heater		gas						10114
bkoppinger@rangreen.com	1	Intinicower		air_handler	heatpump			15.2	52.2				4896
bkoppinger@rangreen.com	2	Partinazz	Lomnipefentor	air_handler	heater		electric						4688
bkoppinger@rangreen.com	3	Intinicower	Sursapadover	air_handler	heater		electric						4880
bkoppinger@rangreen.com	4	Qwiweror Holdings	Zeewerpor	water_heater						electric	19.4		4785
bkoppinger@rangreen.com	5	Rapbanollax Holdings Corp.	Grobanedgicator	air_handler	heater		electric						4030
bkoppinger@rangreen.com	6	Haprobedgazz		water_heater						electric	43.4	118	4497
bkoppinger@rangreen.com	7	Groericator WorldWide Inc	Bardimexax	water_heater						electric	43.1	119	4352
bkownacki@zencorporation.com	1	Cipquestonax Holdings	Tipfropopazz	air_handler	air_conditioner	6.3							7748
bkownacki@zencorporation.com	2	Rejubover Holdings	Adcadepistor	water_heater						thermosolar	19.4	96	8441
bkownacki@zencorporation.com	3	Qwibanonin Direct	Supcadicator	air_handler	heatpump			18.2	33.1				8784
blacovara@zathunicon.com	1	Vartumackicator Company	Surjubin	air_handler	air_conditioner	2.5							10508
blary@year-job.com	1	Parquestower	Mondimollar	air_handler	heater		electric						4770
blawler@plusstrip.com	1	Qwitumegentor Direct Inc	Adnipentor	air_handler	heatpump,heater		electric	27.2	31.8				7467
bleinenbach@dontechi.com	1	Cipbanower Direct Company	Invenaquentor	air_handler	air_conditioner,heater,heatpump	2.7	gas	25.4	38.0				6326
blinahan@mathtouch.com	1	Zeewerar Holdings	Surdimegor	air_handler	heatpump,air_conditioner	0.6		24.4	25.1				2831
blinahan@mathtouch.com	2	Grovenover	Surcadadicator	air_handler	heatpump			25.8	66.9				1104
blinahan@mathtouch.com	3	Qwiwerpantor Holdings Company	Winglibinex	air_handler	air_conditioner,heatpump	2.3		23.9	40.2				2114
blinahan@mathtouch.com	4	Klitumopicator	Suptuminan	air_handler	heater		fuel oil						1524
blipke@donware.com	1	Klinipar International Company	Ciphupaquax	air_handler	heater		fuel oil						11186
blipke@donware.com	2	Haptanepin	Klitanommower	air_handler	heatpump			26.7	40.7				11792
blipke@donware.com	3	Growerpicator Holdings	Lomcadonor	air_handler	heater		gas						12144
blipke@rundofase.com	1	Empebupazz Direct	Cipbananistor	air_handler	air_conditioner	4.2							8791
blipke@rundofase.com	2	Kliwerpedax Holdings Group	Emwerpanentor	air_handler	heater		gas						9998
blipke@rundofase.com	3	Rapvenex Direct Corp.	Rerobommor	air_handler	heatpump			21.1	45.3				7289
blipke@rundofase.com	4	Trutumegantor WorldWide	Injubover	air_handler	air_conditioner	1.9							6723
blipke@rundofase.com	5	Surmunamex WorldWide	Dopmunefax	air_handler	heater		gas						7651
blipke@rundofase.com	6	Winquestedgazz Inc	Endbanonor	water_heater						gas	10.3	107	7798
blipkin@donware.com	1	Monpickex Group	Ciprobexar	water_heater						electric	15.7		8616
blipkin@donware.com	2	Tupcadover WorldWide Corp.	Uperentor	air_handler	heatpump			19.0	62.7				9301
blipkin@donware.com	3	Inquestaquover WorldWide	Froeregex	air_handler	heatpump			18.3	40.0				11085
blipkin@donware.com	4	Monpebinin WorldWide	Qwiwerinower	air_handler	air_conditioner	3.9							9515
blizama@zathunicon.com	1	Thrusipupistor Direct	Inbanollantor	air_handler	heatpump			26.4	48.0				4351
blizama@zathunicon.com	2	Cipwerpeficator	Superexazz	air_handler	heater,heatpump		gas	18.9	38.7				8596
blizama@zathunicon.com	3	Dopveninentor Holdings	Qwiwerinower	air_handler	heatpump			19.7	35.7				4209
blother@j-texon.com	1	Tipfropefax	Supwerpommantor	water_heater						electric	32.5	123	10053
blother@j-texon.com	2	Grovenimax Direct	Groglibover	air_handler	heatpump			11.3	45.6				11848
blother@j-texon.com	3	Unvenistor WorldWide		air_handler	heatpump			24.4	51.9				9656
blouissant@blackzim.com	1	Cipquestonax Holdings	Tipkilefover	air_handler	heater,heatpump		electric	19.6	39.0				11667
blouissant@j-texon.com	1	Inmunopax Holdings Inc	Varfropazz	air_handler	air_conditioner	4.6							11090
bluczki@domzoom.com	1	Winpebewan WorldWide Group	Parmunower	air_handler	heatpump,heater		electric	27.9	37.5				8306
bluczki@domzoom.com	2	Varbanaquower Direct Corp.	Inpickaquan	air_handler	heater		gas						6017
bluczki@domzoom.com	3	Tiperex Group	Upweropar	water_heater						gas	14.8	162	7267
blueckenbach@finhigh.com	1	Thrumunollover WorldWide	Froquestplax	air_handler	heatpump,heater,air_conditioner	12.2	gas	19.5	38.0				6658
blueckenbach@finhigh.com	2	Recadin Group	Tiphupamover	air_handler	heatpump			23.9	59.0				6997
blueckenbach@finhigh.com	3	Barsipicar Holdings Inc		air_handler	air_conditioner	5.5							5267
blueckenbach@finhigh.com	4	Unrobomman WorldWide	Grosipantor	air_handler	air_conditioner	5.5							5436
blueckenbach@finhigh.com	5	Adtanollor Corp.	Upglibackax	water_heater						gas	113.4	99	5008
blueckenbach@finhigh.com	6	Lomrobopower WorldWide		air_handler	heater,air_conditioner	2.3	electric						11090
blueckenbach@treequote.com	1	Adsapantor Direct Corp.	Supzapistor	air_handler	air_conditioner	1.2							4167
blueckenbach@treequote.com	2	Qwihupor Direct Group	Surerefistor	air_handler	heatpump			21.1	48.7				4229
blueckenbach@treequote.com	3	Qwiweror Holdings		air_handler	air_conditioner,heatpump	1.5		26.6	38.5				6092
blueckenbach@treequote.com	4	Unnipicator Corp.	Thrududopazz	air_handler	heater		electric						2762
blungren@zotware.com	1	Thrucadantor WorldWide	Monsipinentor	air_handler	air_conditioner	1.3							5493
blungren@zotware.com	2	Renipicator WorldWide	Surjubaquor	water_heater						electric	81.8		6773
blungren@zotware.com	3	Surjubackar International	Monhupadentor	air_handler	heatpump,heater		electric	18.8	60.5				11500
bmaclead@streethex.com	1	Indudedgan Holdings	Hapquestiman	water_heater						electric	17.2		8388
bmaclead@streethex.com	2	Cippebentor WorldWide	Grorobegover	air_handler	heater		electric						7616
bmaclead@streethex.com	3	Vartaninazz Direct Corp.	Froglibollex	air_handler	heatpump			22.7	38.0				7311
bmaclead@streethex.com	4	Trujubicator Company		air_handler	heater		fuel oil						8863
bmaclead@streethex.com	5	Frowerupar	Grorobor	air_handler	air_conditioner	2.0							7059
bmaclead@streethex.com	6	Adbanonover	Intanan	air_handler	air_conditioner,heatpump	19.6		13.7	43.3				13179
bmadarang@isdom.com	1	Thrujubewex	Dopquestex	air_handler	air_conditioner	2.4							10272
bmadarang@isdom.com	2	Tiperimor International	Uprobax	water_heater						thermosolar	26.6	117	9570
bmadarang@isdom.com	3	Emsipimax Holdings	Trupickazz	air_handler	heatpump			24.1	41.2				8245
bmadarang@konmatfix.com	1	Parpebefex	Rekilonar	water_heater						electric	73.5	118	6969
bmadarang@konmatfix.com	2	Empickopentor Holdings	Zeerobplax	air_handler	heatpump			17.5	55.2				5565
bmadarang@konmatfix.com	3	Surzapommor Direct	Adtanentor	water_heater						thermosolar	31.1	112	7461
bmadarang@konmatfix.com	4	Thrutinamicator Group	Upkilamex	air_handler	heater		gas						7106
bmartabano@fasehatice.com	1	Qwikilentor	Emdudewor	air_handler	air_conditioner	7.8							13526
bmastella@kan-code.com	1	Barpickinicator	Pardimower	water_heater						gas	37.0	110	2658
bmastella@kan-code.com	2	Qwicadegazz Holdings Group	Undudommower	air_handler	heater		electric						1798
bmastella@kan-code.com	3	Grosapinower Direct Group	Cipnipedin	water_heater						electric	19.5	177	2470
bmaynerich@faxquote.com	1	Emsapower Corp.	Fromunopistor	air_handler	heatpump,heater		gas	13.0	36.9				8289
bmclaird@hatfan.com	1	Frodudollazz Corp.		air_handler	air_conditioner	2.7							5149
bmclaird@hatfan.com	2	Upquestanan Company	Zeedudommover	water_heater						electric	16.6	97	6348
bmclaird@hatfan.com	3	Tuppickor Group	Zeekilupazz	air_handler	heater		gas						5471
bmclaird@hatfan.com	4	Surwerantor International Company	Surtumover	air_handler	air_conditioner	1.4							5307
bmcnease@cancity.com	1	Parquestin International		air_handler	heater		gas						4761
bmcnease@cancity.com	2	Grodimefantor	Tuptinefantor	air_handler	heatpump,air_conditioner	1.7		23.8	46.9				6468
bmcnease@cancity.com	3	Cipvenupicator Corp.	Trutumazz	air_handler	heater		electric						4772
bmcnease@cancity.com	4	Tuppickor Group	Empickegower	air_handler	air_conditioner	1.6							3990
bmcnease@cancity.com	5	Parnipimax WorldWide	Tipdimamar	air_handler	heater		fuel oil						5313
bmcnease@cancity.com	6	Supfropan Direct	Qwitinover	air_handler	air_conditioner,heater,heatpump	14.3	electric	21.3	43.3				9473
bmcnease@silis.com	1	Klijubar Holdings	Emwerpistor	air_handler	heater		electric						14774
bmirafuentes@plexzap.com	1	Lomtumador WorldWide Inc	Varkilax	air_handler	heater		gas						4876
bmirafuentes@plexzap.com	2	Varwerpazz Direct	Monpebedower	water_heater						electric	11.7	128	5414
bmirafuentes@plexzap.com	3	Raperin Holdings Company	Frojubedgower	air_handler	heatpump			28.5	54.1				6766
bmulqueen@dalttechnology.com	1	Haptanazz International		water_heater						gas	45.0	158	5914
bmulqueen@dalttechnology.com	2	Varhupilor Holdings	Raptumantor	water_heater						electric	44.6	175	5729
bmulqueen@dalttechnology.com	3	Winfropanover International	Haperollor	air_handler	air_conditioner	8.2							6260
bmulqueen@dalttechnology.com	4	Zeewerar Holdings	Wincadegower	air_handler	heatpump			19.5	30.9				7040
bmulqueen@dalttechnology.com	5	Winwerpadower International Company	Varzapepazz	air_handler	heater,air_conditioner	5.2	gas						6604
bmulqueen@dalttechnology.com	6	Truzapicar Direct Corp.	Truglibedgax	air_handler	heater		gas						5422
bmunns@newex.com	1	Tipjubepover	Reglibin	air_handler	heater		gas						8563
bmunns@newex.com	2	Adsapantor Direct Corp.	Renipentor	air_handler	air_conditioner	3.6							10866
bmunns@newex.com	3	Winwerpazz Direct	Zeedimimax	air_handler	heatpump			23.2	51.9				7416
bmyricks@green-plus.com	1	Hapjubex Inc	Qwisipommicator	air_handler	heater		gas						4985
bmyricks@green-plus.com	2	Frodimex Holdings	Thrujubex	air_handler	heatpump			24.6	45.5				5336
bmyricks@green-plus.com	3	Dopmunazz	Varsipicin	air_handler	heatpump,air_conditioner	1.9		24.5	38.1				8733
bnestle@xx-holding.com	1	Thrududover Direct Company	Pardudimar	air_handler	air_conditioner,heater,heatpump	2.1	electric	19.6	41.2				4713
bnievas@iselectrics.com	1	Thrumunollover WorldWide	Redudador	air_handler	heater		electric						6316
bnievas@iselectrics.com	2	Unweropax Direct	Adquestepex	air_handler	heatpump,heater		gas	20.3	41.8				6413
bnievas@iselectrics.com	3	Inglibentor WorldWide	Grojubollazz	air_handler	heater,air_conditioner	1.6	gas						7374
bnievas@ontomedia.com	1	Supzapollex	Monhupazz	air_handler	heatpump			24.2	49.9				7433
bnievas@ontomedia.com	2	Bartumanar Direct		air_handler	heatpump			17.3	72.7				6203
bnievas@ontomedia.com	3	Haptanackower International	Upnipantor	air_handler	air_conditioner	2.5							7815
bnievas@ontomedia.com	4	Cipjubaquistor	Partininex	water_heater						electric	14.9	110	8356
bnievas@ontomedia.com	5	Winglibower Company	Parsapor	air_handler	heater		electric						9001
bnievas@ontomedia.com	6	Barpickommantor Direct		air_handler	air_conditioner	2.8							9066
bostrosky@codehow.com	1	Frodimex Holdings	Ciperollazz	air_handler	heatpump			26.1	32.7				12330
bostrosky@codehow.com	2	Upkilex WorldWide Group	Inwerantor	air_handler	heatpump			23.3	30.9				11901
bostrosky@codehow.com	3	Parwerupor Corp.	Adsipor	air_handler	air_conditioner	2.6							8188
bostrosky@codehow.com	4	Lomtanar International	Unbanan	air_handler	heatpump			26.3	38.5				12134
bpadilla@zathunicon.com	1	Adwerax	Klizapin	air_handler	air_conditioner	1.3							7501
bpadilla@zathunicon.com	2	Emmunupar Inc	Tuppickegin	air_handler	heatpump,air_conditioner	15.6		25.1	37.9				8903
bpadilla@zathunicon.com	3	Doptaninin Holdings Inc	Surbanex	air_handler	heater		electric						5422
bpagliuca@bioplex.com	1	Reglibedgower		water_heater						gas	35.1	113	8582
bpagliuca@bioplex.com	2	Thrududover Direct Company	Refropimor	air_handler	heatpump			15.5	33.3				7408
bpagliuca@bioplex.com	3	Cipbanover WorldWide	Partanadicator	water_heater						thermosolar	25.5	158	6190
bparlato@streethex.com	1	Klipickan WorldWide Company		air_handler	heater		electric						11501
bpedrozo@kan-code.com	1	Bartinex Direct	Hapmunopentor	air_handler	air_conditioner	4.1							7721
bpedrozo@kan-code.com	2	Sursipewentor	Adrobefistor	air_handler	heater		electric						7608
bpedrozo@kan-code.com	3	Cipmunonover Holdings	Barpickegex	air_handler	air_conditioner	2.1							6204
bplumer@labdrill.com	1	Suppickantor Holdings		air_handler	heatpump			19.7	43.3				17146
bpoullion@bioholding.com	1	Rapvenamower International	Klirobupistor	air_handler	air_conditioner	2.5							8556
bpoullion@bioholding.com	2	Surquestackex	Varwerpor	air_handler	air_conditioner	1.9							8233
bpoullion@bioholding.com	3	Lomdimewax Direct	Surpebazz	water_heater						thermosolar	57.4	119	6560
bpugh@opentech.com	1	Haprobicator	Tupsapimentor	air_handler	heatpump			23.1	29.1				5616
bpugh@opentech.com	2	Klieregower WorldWide	Zeebanewan	water_heater						electric	27.6	105	4613
bpugh@opentech.com	3	Tipvenefar	Ciptinistor	air_handler	heater		gas						5557
bpugh@opentech.com	4	Inquestan	Emhupinower	air_handler	air_conditioner	1.1							4158
bpugh@opentech.com	5	Frorobex Holdings Group	Barmunistor	air_handler	air_conditioner	1.2							4788
bpugh@opentech.com	6	Varjubower Corp.	Thrucadower	air_handler	heater,heatpump		electric	21.4	55.6				6549
bregusters@domzoom.com	1	Haprobicator	Haptanan	air_handler	heatpump,air_conditioner	1.5		27.5	39.7				5469
bregusters@domzoom.com	2	Parquestower	Trubanantor	air_handler	heatpump			29.7	40.0				2777
bregusters@domzoom.com	3	Lomglibower Holdings	Hapfropollower	air_handler	heatpump			21.2	21.9				4226
brentfro@green-plus.com	1	Hapfropentor International Group	Grotanazz	air_handler	air_conditioner	1.8							3468
brhymes@funholding.com	1	Trubanilex	Emdudazz	air_handler	heatpump			26.6	63.9				4786
brhymes@funholding.com	2	Dopsipegentor Direct	Endtanplistor	air_handler	heatpump,air_conditioner	8.8		18.0	45.6				6588
brhymes@funholding.com	3	Dopjubupicator	Winbanover	water_heater						electric	22.8	169	4446
briden@opentech.com	1	Dophupentor Direct Company	Frokilplentor	air_handler	air_conditioner	9.6							10745
brim@groovestreet.com	1	Rehupegazz	Supquestackicator	water_heater						electric	21.3		17152
briopelle@donquadtech.com	1	Rapweror	Supnipplex	air_handler	heater		gas						5571
briopelle@donquadtech.com	2	Emwerpentor Direct Corp.	Emdimor	air_handler	heater		electric						5367
briopelle@donquadtech.com	3	Lomdimewax Direct	Reweran	air_handler	heater		electric						7356
briopelle@donquadtech.com	4	Lomdimewax Direct	Wintumackower	air_handler	heater,air_conditioner	3.3	gas						7407
briopelle@donquadtech.com	5	Tupkilplower Direct	Fropickentor	water_heater						electric	31.9	116	4368
briopelle@donquadtech.com	6	Trupebin Holdings Group	Hapnipamex	air_handler	air_conditioner,heater	9.8	gas						11866
bruta@faxquote.com	1	Tupdudar Direct		air_handler	heater		gas						12143
bryser@zotware.com	1	Lomdimin International Company	Lomnipicator	water_heater						electric	70.1	186	5148
bryser@zotware.com	2	Varwerpazz Direct	Rehupistor	air_handler	heater		gas						6893
bryser@zotware.com	3	Hapkilantor	Surdimupover	air_handler	air_conditioner	4.9							4592
bsamara@konmatfix.com	1	Tupnipopar	Monbanax	air_handler	heatpump			20.6	47.3				7582
bsamara@konmatfix.com	2	Emcadentor International		water_heater						electric	75.0	206	7809
bsamara@konmatfix.com	3	Winsipexar WorldWide	Bartanupar	air_handler	heatpump			21.1	43.6				7069
bsaras@golddex.com	1	Surcadinin International	Undudedistor	air_handler	heater		gas						6344
bsaras@golddex.com	2	Thrusapentor WorldWide	Upsapedover	air_handler	heatpump			19.6	49.8				5916
bsaras@golddex.com	3	Supbanor	Resapedgin	air_handler	air_conditioner	2.2							11594
bsaras@golddex.com	4	Cipnipefistor International	Fromunefor	air_handler	heatpump			19.4	49.2				8097
bsarbacher@mathtouch.com	1	Parvenistor Direct Inc	Barsipefin	air_handler	air_conditioner	1.4							4457
bsarbacher@newex.com	1	Winsapplover	Qwivenin	air_handler	air_conditioner,heatpump	3.6		24.8	35.6				8816
bsarbacher@newex.com	2	Rapweregicator International	Hapbanower	water_heater						thermosolar	50.9	187	6075
bsarbacher@newex.com	3	Haphupin Holdings Corp.	Zeeglibicentor	air_handler	heater		electric						4766
bsarbacher@newex.com	4	Endpickower Group	Tipkilin	air_handler	air_conditioner	1.6							6017
bsayaphon@sunnamplex.com	1	Haptanazz International	Emwerpexover	air_handler	heater		electric						4314
bsayaphon@sunnamplex.com	2	Vartaninazz Direct Corp.	Trubanommantor	air_handler	heater,heatpump		gas	22.7	41.6				8295
bsayaphon@sunnamplex.com	3	Trutumefentor International	Supdimantor	air_handler	air_conditioner	2.0							3855
bsayaphon@sunnamplex.com	4	Klidudazz International	Tipnipadar	air_handler	heater,heatpump		gas	19.4	30.4				6797
bschirpke@donquadtech.com	1	Doptanex International Company	Upmunin	air_handler	heater		fuel oil						5164
bschirpke@donquadtech.com	2	Hapsipaquentor Direct	Upbanantor	water_heater						gas	14.5	107	5288
bschirpke@donquadtech.com	3	Unweropax Direct	Winkilegin	air_handler	heatpump,heater		electric	20.1	58.5				8656
bschirpke@donware.com	1	Trueregentor Holdings Group	Emtanefor	air_handler	heater		electric						4689
bschirpke@donware.com	2	Unmunilar Holdings	Rapcadefax	air_handler	heater		gas						4499
bschirpke@donware.com	3	Thrutanower	Supfropantor	air_handler	heater,air_conditioner	6.5	gas						7002
bschirpke@goodsilron.com	1	Trudiminower	Frohupicator	air_handler	heatpump			16.4	26.7				4073
bschirpke@goodsilron.com	2	Varwerilicator	Qwikilex	water_heater						electric	10.1	176	3046
bschirpke@goodsilron.com	3	Barnipimax Inc	Unkilor	air_handler	heater,air_conditioner	5.0	gas						6420
bscipione@donquadtech.com	1	Zeetanazz	Supdudonar	air_handler	heater		electric						15072
bscipione@silis.com	1	Tupfropilower WorldWide	Monjubistor	water_heater						thermosolar	36.9	112	9475
bscipione@silis.com	2	Zeepickamower WorldWide Company	Klisipanar	air_handler	heater		gas						12536
bscipione@silis.com	3	Suptumax Holdings		air_handler	air_conditioner	4.0							7431
bsergi@dontechi.com	1	Endpickaquower International	Tiptuminentor	air_handler	air_conditioner	1.4							5216
bsergi@dontechi.com	2	Emdimar Direct	Hapcadar	air_handler	air_conditioner,heatpump	2.3		23.2	48.3				6697
bsergi@dontechi.com	3	Qwieristor Company	Addudamazz	air_handler	air_conditioner	1.1							4322
bshadrick@lexiqvolax.com	1	Thrupebonor	Rezapewistor	air_handler	heater,heatpump		electric	21.7	44.3				9785
bshadrick@lexiqvolax.com	2	Tiprobex	Bartanupar	air_handler	air_conditioner	1.5							7231
bshadrick@lexiqvolax.com	3	Frofropopicator Direct	Upcadedgicator	air_handler	air_conditioner	7.5							7865
bshadrick@lexiqvolax.com	4	Vartinax International Corp.	Klinipan	water_heater						gas	15.2	169	6561
bshields@yearin.com	1	Emvenazz Holdings	Parrobinantor	air_handler	heatpump			25.6	30.1				7022
bshields@yearin.com	2	Inwerepor Company	Monrobor	air_handler	heatpump,air_conditioner	3.0		19.7	50.3				12870
bshields@yearin.com	3	Thrufropover Group	Thrududower	air_handler	air_conditioner	5.5							8313
bshields@yearin.com	4	Lomdimefentor Direct		air_handler	air_conditioner	1.7							6982
bsilvestrini@cancity.com	1	Frotinaquar Direct Group	Unzapican	air_handler	air_conditioner	20.2							17217
bsimilton@opentech.com	1	Emtinistor WorldWide Inc		water_heater						heat pump	47.1		1336
bsimilton@opentech.com	2	Inweradazz International Company	Addimanan	air_handler	air_conditioner	0.6							1784
bsimilton@opentech.com	3	Indimplover Inc	Mondudupar	water_heater						electric	10.0	203	1564
bsimilton@opentech.com	4	Uphupentor Holdings	Trubanommantor	water_heater						gas	52.1		1605
bsimilton@opentech.com	5	Hapweristor Holdings		air_handler	heater		electric						1067
bsimilton@opentech.com	6	Emcadentor International	Dopwerpollor	air_handler	heater		electric						1324
bsimilton@opentech.com	7	Surtanegower	Zeesapar	air_handler	heatpump			23.9	42.9				1516
bsimilton@opentech.com	8	Unsipexar WorldWide	Hapdudicator	water_heater						electric	18.4	114	1730
bsimilton@opentech.com	9	Barpickover International		air_handler	air_conditioner	0.8							1403
bskulski@kinnamplus.com	1	Trubanilex	Surzapicax	air_handler	air_conditioner	1.8							5238
bskulski@kinnamplus.com	2	Supmunor Group	Hapjubex	air_handler	air_conditioner	1.2							4365
bskulski@kinnamplus.com	3	Undudupar Inc	Emmunicator	water_heater						electric	16.7		6354
bskulski@kinnamplus.com	4	Emtinistor WorldWide Inc	Emtananazz	air_handler	heatpump			23.0	50.3				5271
bskulski@kinnamplus.com	5	Trujubupantor Holdings	Reerefantor	water_heater						gas	11.8	118	3887
bskulski@kinnamplus.com	6	Zeejubex WorldWide	Monbanollax	air_handler	heater		gas						6665
bskulski@kinnamplus.com	7	Tippickopin Direct	Zeerobanistor	air_handler	air_conditioner	2.7							5212
bskulski@kinnamplus.com	8	Supericator WorldWide Company		air_handler	heater		gas						5572
bskulski@kinnamplus.com	9	Haprobicator	Rejubentor	water_heater						gas	18.5	108	5313
bskursky@ron-tech.com	1	Qwitumegentor Direct Inc	Enderor	air_handler	air_conditioner	12.3							11667
bslusarski@donquadtech.com	1	Zeedimefantor International Company	Kliglibackicator	water_heater						electric	10.3		10722
bspickerman@domzoom.com	1	Qwibanonin Direct	Suphupopar	water_heater						thermosolar	22.1	246	3223
bspringe@betatech.com	1	Adquestin International		air_handler	heatpump,air_conditioner	2.2		30.1	32.8				7374
bspringe@betatech.com	2	Surzapommor Direct	Unpebinar	air_handler	heatpump			19.0	42.9				5815
bspringe@betatech.com	3	Vartumackicator Company	Bareraquor	air_handler	heatpump			22.6	34.0				3113
bsteffensmeier@y-corporation.com	1	Fromunommower Holdings Group	Hapquestepax	air_handler	air_conditioner,heater	0.6	electric						2741
bsteffensmeier@y-corporation.com	2	Varquestentor Direct		air_handler	heatpump,heater		gas	21.8	37.1				2705
bsteffensmeier@y-corporation.com	3	Fropebepantor Inc	Rapkilonar	air_handler	heatpump			23.1	47.7				2069
bsteffensmeier@y-corporation.com	4	Thrupebinan Holdings		water_heater						gas	11.9		2036
bsteffensmeier@y-corporation.com	5	Hapdudower Holdings Company	Kliquestower	water_heater						gas	39.7	199	1247
bsteffensmeier@y-corporation.com	6	Varrobegower Company	Surerantor	air_handler	heater		electric						1744
bsteffensmeier@y-corporation.com	7	Upkilin Corp.		air_handler	heater		electric						1780
bsteier@fasehatice.com	1	Frojubupax Corp.	Surhupamentor	water_heater						gas	94.5	96	5304
bsteier@fasehatice.com	2	Barnipentor	Cipwerpefentor	air_handler	heater		electric						5096
bsteier@fasehatice.com	3	Zeeerommower Company	Thruhupentor	water_heater						electric	10.4		4172
bstimmel@inity.com	1	Uptumistor WorldWide	Lompickex	air_handler	heater		gas						14675
bstoltzman@green-plus.com	1	Qwiweran		air_handler	heater		electric						8303
bstoltzman@green-plus.com	2	Rapdudackower Holdings Group	Emrobinor	water_heater						electric	11.7	108	8199
bstoltzman@green-plus.com	3	Varsapower WorldWide		water_heater						thermosolar	55.9	101	6748
bstoltzman@green-plus.com	4	Rapkilantor International Group	Emtinedgazz	air_handler	heatpump			25.7	55.8				7530
bstoltzman@green-plus.com	5	Cipdudefower WorldWide	Klikilan	air_handler	air_conditioner	7.2							9512
bstoltzman@green-plus.com	6	Frowerpexentor Direct	Reerackantor	air_handler	heatpump			21.3	39.6				7125
